Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-17 01:00:00+00:00,359.0,361.0,359.0,361.0,0,0.0,0.0
2025-02-17 01:05:00+00:00,361.0,361.0,359.0,359.0,11000,0.0,0.0
2025-02-17 01:10:00+00:00,359.0,359.0,358.5,358.5,5287,0.0,0.0
2025-02-17 01:15:00+00:00,358.5,358.5,358.5,358.5,1589,0.0,0.0
2025-02-17 01:20:00+00:00,358.5,358.5,358.5,358.5,3194,0.0,0.0
2025-02-17 01:25:00+00:00,358.5,358.5,358.5,358.5,2061,0.0,0.0
2025-02-17 01:30:00+00:00,358.5,359.0,358.0,359.0,5535,0.0,0.0
2025-02-17 01:35:00+00:00,359.0,359.5,359.0,359.5,2246,0.0,0.0
2025-02-17 01:40:00+00:00,358.5,358.5,358.5,358.5,1375,0.0,0.0
2025-02-17 01:45:00+00:00,358.5,359.0,358.5,359.0,2312,0.0,0.0
2025-02-17 01:50:00+00:00,359.0,359.0,359.0,359.0,8481,0.0,0.0
2025-02-17 01:55:00+00:00,359.5,360.0,359.5,359.5,22521,0.0,0.0
2025-02-17 02:00:00+00:00,359.5,359.5,359.5,359.5,3345,0.0,0.0
2025-02-17 02:05:00+00:00,359.5,359.5,359.5,359.5,2277,0.0,0.0
2025-02-17 02:10:00+00:00,358.0,358.0,358.0,358.0,5758,0.0,0.0
2025-02-17 02:25:00+00:00,357.5,358.5,357.5,358.5,9047,0.0,0.0
2025-02-17 02:30:00+00:00,358.5,358.5,358.5,358.5,1111,0.0,0.0
2025-02-17 02:35:00+00:00,359.0,359.0,359.0,359.0,2014,0.0,0.0
2025-02-17 02:40:00+00:00,358.0,358.0,358.0,358.0,1130,0.0,0.0
2025-02-17 02:45:00+00:00,359.0,359.0,358.0,358.0,3200,0.0,0.0
2025-02-17 03:05:00+00:00,358.5,358.5,358.5,358.5,2213,0.0,0.0
2025-02-17 03:15:00+00:00,358.5,358.5,358.5,358.5,5221,0.0,0.0
2025-02-17 03:25:00+00:00,358.5,359.0,358.5,359.0,2381,0.0,0.0
2025-02-17 03:35:00+00:00,359.0,359.0,359.0,359.0,1264,0.0,0.0
2025-02-17 03:40:00+00:00,358.5,358.5,357.5,357.5,8347,0.0,0.0
2025-02-17 03:50:00+00:00,357.5,357.5,357.5,357.5,2754,0.0,0.0
2025-02-17 04:05:00+00:00,357.5,357.5,357.5,357.5,1696,0.0,0.0
2025-02-17 04:30:00+00:00,358.5,358.5,358.0,358.0,2035,0.0,0.0
2025-02-17 04:40:00+00:00,358.0,358.0,358.0,358.0,1798,0.0,0.0
2025-02-17 04:50:00+00:00,357.5,357.5,357.5,357.5,4575,0.0,0.0
2025-02-17 05:00:00+00:00,357.5,357.5,357.5,357.5,1349,0.0,0.0
2025-02-17 05:15:00+00:00,358.0,358.0,358.0,358.0,2238,0.0,0.0
2025-02-17 05:20:00+00:00,358.0,358.0,357.5,357.5,2046,0.0,0.0
2025-02-18 01:00:00+00:00,358.0,358.0,355.5,355.5,0,0.0,0.0
2025-02-18 01:05:00+00:00,357.0,357.0,357.0,357.0,7447,0.0,0.0
2025-02-18 01:20:00+00:00,357.0,357.0,357.0,357.0,2572,0.0,0.0
2025-02-18 01:25:00+00:00,357.5,357.5,357.0,357.0,5498,0.0,0.0
2025-02-18 01:35:00+00:00,357.0,358.0,357.0,358.0,13237,0.0,0.0
2025-02-18 01:40:00+00:00,358.0,358.5,358.0,358.5,6957,0.0,0.0
2025-02-18 01:45:00+00:00,358.5,358.5,358.5,358.5,4255,0.0,0.0
2025-02-18 01:50:00+00:00,358.5,358.5,358.5,358.5,2102,0.0,0.0
2025-02-18 01:55:00+00:00,358.0,358.0,358.0,358.0,3778,0.0,0.0
2025-02-18 02:00:00+00:00,358.5,358.5,358.5,358.5,3050,0.0,0.0
2025-02-18 02:10:00+00:00,358.5,358.5,358.5,358.5,1004,0.0,0.0
2025-02-18 02:15:00+00:00,358.0,358.0,358.0,358.0,6309,0.0,0.0
2025-02-18 02:20:00+00:00,357.5,358.0,357.0,358.0,7889,0.0,0.0
2025-02-18 02:30:00+00:00,357.5,358.0,357.5,358.0,3026,0.0,0.0
2025-02-18 02:35:00+00:00,358.5,359.5,358.5,359.5,19061,0.0,0.0
2025-02-18 02:40:00+00:00,359.0,359.0,358.5,358.5,2011,0.0,0.0
2025-02-18 02:45:00+00:00,358.5,358.5,358.5,358.5,5504,0.0,0.0
2025-02-18 02:55:00+00:00,359.0,359.0,359.0,359.0,1017,0.0,0.0
2025-02-18 03:00:00+00:00,359.0,359.0,359.0,359.0,2115,0.0,0.0
2025-02-18 03:05:00+00:00,359.0,359.0,359.0,359.0,2091,0.0,0.0
2025-02-18 03:15:00+00:00,358.5,358.5,358.5,358.5,5410,0.0,0.0
2025-02-18 03:20:00+00:00,358.0,358.0,358.0,358.0,2019,0.0,0.0
2025-02-18 03:25:00+00:00,358.0,358.0,358.0,358.0,1013,0.0,0.0
2025-02-18 03:30:00+00:00,358.0,358.0,358.0,358.0,1151,0.0,0.0
2025-02-18 03:35:00+00:00,358.0,358.0,358.0,358.0,1989,0.0,0.0
2025-02-18 04:30:00+00:00,357.5,358.0,357.5,358.0,2006,0.0,0.0
2025-02-18 04:35:00+00:00,357.5,358.0,357.5,358.0,10444,0.0,0.0
2025-02-18 04:45:00+00:00,357.0,357.5,357.0,357.5,2210,0.0,0.0
2025-02-18 04:50:00+00:00,357.5,357.5,357.5,357.5,4020,0.0,0.0
2025-02-18 04:55:00+00:00,357.5,357.5,357.5,357.5,1057,0.0,0.0
2025-02-18 05:00:00+00:00,357.5,358.0,357.5,358.0,3044,0.0,0.0
2025-02-18 05:10:00+00:00,357.5,357.5,357.5,357.5,2052,0.0,0.0
